pvs_id,mode,context,O46
TR04_SRC001_HRC01,0,mobile,4.9522177313124995
TR04_SRC001_HRC01,1,mobile,4.906801342313591
TR04_SRC001_HRC01,2,mobile,4.976099908325
TR04_SRC001_HRC01,3,mobile,4.9745111899375
TR04_SRC001_HRC01,0,pc,4.9522177313124995
TR04_SRC001_HRC01,1,pc,4.906801342313591
TR04_SRC001_HRC01,2,pc,4.976099908325
TR04_SRC001_HRC01,3,pc,4.9745111899375
TR04_SRC003_HRC02,0,mobile,1.3742012829077979
TR04_SRC003_HRC02,1,mobile,1.3214536301468465
TR04_SRC003_HRC02,2,mobile,1.3406096160814882
TR04_SRC003_HRC02,3,mobile,1.3209176618709437
TR04_SRC003_HRC02,0,pc,1.3742012829077979
TR04_SRC003_HRC02,1,pc,1.3214536301468465
TR04_SRC003_HRC02,2,pc,1.3406096160814882
TR04_SRC003_HRC02,3,pc,1.3209176618709437
TR04_SRC004_HRC02,0,mobile,1.3794199310962059
TR04_SRC004_HRC02,1,mobile,1.3130815171926107
TR04_SRC004_HRC02,2,mobile,1.3153855887267454
TR04_SRC004_HRC02,3,mobile,1.3321731269618744
TR04_SRC004_HRC02,0,pc,1.3794199310962059
TR04_SRC004_HRC02,1,pc,1.3130815171926107
TR04_SRC004_HRC02,2,pc,1.3153855887267454
TR04_SRC004_HRC02,3,pc,1.3321731269618744
TR04_SRC002_HRC01,0,mobile,4.9522177313124995
TR04_SRC002_HRC01,1,mobile,4.664921176401361
TR04_SRC002_HRC01,2,mobile,4.8927134898375
TR04_SRC002_HRC01,3,mobile,4.88867685815
TR04_SRC002_HRC01,0,pc,4.9522177313124995
TR04_SRC002_HRC01,1,pc,4.664921176401361
TR04_SRC002_HRC01,2,pc,4.8927134898375
TR04_SRC002_HRC01,3,pc,4.88867685815
TR04_SRC103_HRC80,0,mobile,3.6316089327877226
TR04_SRC103_HRC80,1,mobile,2.880234178803091
TR04_SRC103_HRC80,2,mobile,2.9179251142726197
TR04_SRC103_HRC80,3,mobile,3.394563664031814
TR04_SRC103_HRC80,0,pc,3.6316089327877226
TR04_SRC103_HRC80,1,pc,2.880234178803091
TR04_SRC103_HRC80,2,pc,2.9179251142726197
TR04_SRC103_HRC80,3,pc,3.394563664031814
TR04_SRC104_HRC88,0,mobile,3.9118754725213494
TR04_SRC104_HRC88,1,mobile,3.701573353988623
TR04_SRC104_HRC88,2,mobile,3.9075309346838494
TR04_SRC104_HRC88,3,mobile,3.9075309346838494
TR04_SRC104_HRC88,0,pc,3.9118754725213494
TR04_SRC104_HRC88,1,pc,3.701573353988623
TR04_SRC104_HRC88,2,pc,3.9075309346838494
TR04_SRC104_HRC88,3,pc,3.9075309346838494
TR04_SRC112_HRC83,0,mobile,3.933007773284847
TR04_SRC112_HRC83,1,mobile,3.7606394682549062
TR04_SRC112_HRC83,2,mobile,3.7750903232844655
TR04_SRC112_HRC83,3,mobile,3.342753871016438
TR04_SRC112_HRC83,0,pc,3.933007773284847
TR04_SRC112_HRC83,1,pc,3.7606394682549062
TR04_SRC112_HRC83,2,pc,3.7750903232844655
TR04_SRC112_HRC83,3,pc,3.342753871016438
TR04_SRC108_HRC92,0,mobile,3.106616820822634
TR04_SRC108_HRC92,1,mobile,3.0948444291816375
TR04_SRC108_HRC92,2,mobile,3.1211536251462553
TR04_SRC108_HRC92,3,mobile,3.1261259634261562
TR04_SRC108_HRC92,0,pc,3.106616820822634
TR04_SRC108_HRC92,1,pc,3.0948444291816375
TR04_SRC108_HRC92,2,pc,3.1211536251462553
TR04_SRC108_HRC92,3,pc,3.1261259634261562
TR04_SRC120_HRC95,0,mobile,3.1372702432534494
TR04_SRC120_HRC95,1,mobile,3.0720297823882743
TR04_SRC120_HRC95,2,mobile,3.2012039235990324
TR04_SRC120_HRC95,3,mobile,3.2218912385175513
TR04_SRC120_HRC95,0,pc,3.1372702432534494
TR04_SRC120_HRC95,1,pc,3.0720297823882743
